N100.trim.bt2	2483	102.828628
N101.trim.bt2	2497	94.740755
N102.trim.bt2	2500	85.201988
N103.trim.bt2	2487	88.209940
N104.trim.bt2	2509	95.794831
N105.trim.bt2	2494	114.066004
N106.trim.bt2	2499	100.666800
N107.trim.bt2	2470	78.766998
N108.trim.bt2	2457	83.927634
N109.trim.bt2	2449	62.896620
N110.trim.bt2	2469	57.858847
N111.trim.bt2	2454	62.478330
N112.trim.bt2	2467	66.363022
N113.trim.bt2	2480	58.539563
N114.trim.bt2	2441	66.117296
N115.trim.bt2	2482	78.871969
N116.trim.bt2	2429	65.491053
N117.trim.bt2	2484	86.476739
N118.trim.bt2	2471	76.282704
N119.trim.bt2	2452	67.381710
N120.trim.bt2	2475	77.019880
N121.trim.bt2	2478	79.650100
N122.trim.bt2	2487	82.272763
N123.trim.bt2	2469	79.148310
N124.trim.bt2	2483	71.368589
N125.trim.bt2	2483	78.730020
N126.trim.bt2	2475	73.612326
N127.trim.bt2	2444	71.634195
N128.trim.bt2	2486	81.107356
N129.trim.bt2	2465	75.357455
N130.trim.bt2	2472	82.753877
N131.trim.bt2	2478	72.066799
N132.trim.bt2	2476	74.296222
N133.trim.bt2	2472	65.509344
N134.trim.bt2	2462	61.088271
N135.trim.bt2	2454	62.356660
N136.trim.bt2	2448	61.585686
N137.trim.bt2	2471	65.156660
N138.trim.bt2	2458	65.008747
N139.trim.bt2	2472	70.165805
N140.trim.bt2	2465	65.181312
N141.trim.bt2	2437	70.150696
N142.trim.bt2	2427	60.607554
N143.trim.bt2	2454	61.356660
N99.trim.bt2	2504	97.361034
